strike,diameter size class,dead_trees,damaged_trees,total_trees,
P19001,>60cm,0,3,3,
P19003,>60cm,1,4,5,
P19005,>60cm,0,1,1,
P19006,>60cm,1,4,5,
P19007,>60cm,1,0,1,
P19008,>60cm,0,1,1,
P19009,>60cm,0,3,3,
P19001,30-60cm,0,1,1,
P19003,30-60cm,0,2,2,
P19005,30-60cm,0,2,2,
P19006,30-60cm,0,0,0,
P19007,30-60cm,0,0,0,
P19008,30-60cm,7,6,13,
P19009,30-60cm,3,7,10,
P19001,10-30cm,0,4,4,
P19003,10-30cm,0,1,1,
P19005,10-30cm,0,2,2,
P19006,10-30cm,4,0,4,
P19007,10-30cm,0,5,5,
P19008,10-30cm,10,13,23,
P19009,10-30cm,9,15,24,
P19001,1-10cm,0,0,0,
P19003,1-10cm,1,1,2,
P19005,1-10cm,2,1,3,
P19006,1-10cm,0,0,0,
P19007,1-10cm,0,0,0,
P19008,1-10cm,0,0,0,
P19009,1-10cm,6,0,6,this is a conservative count and the true number of dead trees likely is greater than 6 trees
